sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
6261,2349,Masarykova,1648/59,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6641254,14.033187
6145,2243,Riegrova,909/5,Děčín II-Nové Město,Děčín,40502,Ústecký kraj,50.7800741,14.2213806
6144,2243,Riegrova,909/5,Děčín II-Nové Město,Děčín,40502,Ústecký kraj,50.7800741,14.2213806
6116,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
6084,193,Zahradnická,1534/5,Předměstí,Litoměřice,41201,Ústecký kraj,,
6083,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
6080,93,Kubátova,269,Háj u Duchcova,Háj u Duchcova,41722,Ústecký kraj,50.6315794,13.7133755
6077,611,Na Vypichu,180,Lahošť,Lahošť,41725,Ústecký kraj,50.6214165,13.756663
6075,1624,Čajkovského,1908/82,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6401921,14.0442611
6073,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
6053,2222,28. října,475/7,Lovosice,Lovosice,41002,Ústecký kraj,50.515047,14.0459084
6038,435,Fügnerova,282/11,Trmice,Trmice,40004,Ústecký kraj,50.6429157,13.9989999
6027,2152,Bílkova,855/19,Staré Město,Praha,11000,Hlavní město Praha,50.0912881,14.4216877
5938,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
5937,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
5935,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
5934,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
5917,2050,Dělnická,109,Meziboří,Meziboří,43513,Ústecký kraj,50.6207301,13.60139
5904,1694,Masarykova,1094/4,Krásná Lípa,Krásná Lípa,40746,Ústecký kraj,50.9130726,14.50939
5903,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
5901,1776,None,1,Petrohrad,Petrohrad,43985,Ústecký kraj,50.1263738,13.4428116
5899,231,None,1,Tuchořice,Tuchořice,43969,Ústecký kraj,50.2844389,13.6609024
5892,340,Březinova,1093,Kadaň,Kadaň,43201,Ústecký kraj,50.3768233,13.2651021
5825,2160,None,100,Arnoltice,Arnoltice,40714,Ústecký kraj,50.8392288,14.2612175
5787,1764,None,5,Patokryje,Patokryje,43401,Ústecký kraj,50.5024682,13.7080234
5775,800,Fügnerova,355/16,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7778507,14.2171139
5774,1770,Sněžnická,94,Jílové,Jílové,40701,Ústecký kraj,50.7659663,14.1014024
5764,2148,Bílý kopec,432,Podbořany,Podbořany,44101,Ústecký kraj,50.2287623,13.4158746
5755,1776,None,1,Petrohrad,Petrohrad,43985,Ústecký kraj,50.1263738,13.4428116
5754,2146,Šafaříkova,991,Horní Litvínov,Litvínov,43601,Ústecký kraj,50.6015669,13.6077564
5753,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
5745,1397,Petržílkova,2565/23,Stodůlky,Praha,15800,Hlavní město Praha,50.0505486,14.3425118
5744,1397,Petržílkova,2565/23,Stodůlky,Praha,15800,Hlavní město Praha,50.0505486,14.3425118
5712,2136,Kochova,1185,Chomutov,Chomutov,43001,Ústecký kraj,50.4551743,13.4112939
5708,391,Velká Hradební,13/47,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6603133,14.0372639
5707,391,Velká Hradební,13/47,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6603133,14.0372639
5697,954,Lužická,727/7,Děčín II-Nové Město,Děčín,40502,Ústecký kraj,50.7833953,14.2229428
5694,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
5676,1897,Radniční,1/2,Most,Most,43401,Ústecký kraj,50.5028219,13.6404648
5661,1672,Mírové nám.,234/3,Děčín IV-Podmokly,Děčín,40502,Ústecký kraj,50.7735826,14.1963805
5643,1872,T. G. Masaryka,611,Šluknov,Šluknov,40777,Ústecký kraj,51.0046163,14.459185
5635,1764,None,5,Patokryje,Patokryje,43401,Ústecký kraj,50.5024682,13.7080234
5591,71,Nám. E. Beneše,470,Varnsdorf,Varnsdorf,40747,Ústecký kraj,50.9120975,14.6197564
5590,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
5568,1047,Varšavská,688/40,Střekov,Ústí nad Labem,40003,Ústecký kraj,50.6584598,14.052156
5552,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
5544,1050,K. Maličkého,382/16,Lovosice,Lovosice,41002,Ústecký kraj,50.515823,14.0452472
5543,93,Kubátova,269,Háj u Duchcova,Háj u Duchcova,41722,Ústecký kraj,50.6315794,13.7133755
5542,864,Tyršova,350,Česká Kamenice,Česká Kamenice,40721,Ústecký kraj,50.8001475,14.4119825
5539,1898,náměstí Dr. Beneše,1919/23,Chomutov,Chomutov,43001,Ústecký kraj,50.4581221,13.4106518
5524,769,K. Maličkého,418/2,Lovosice,Lovosice,41002,Ústecký kraj,50.515823,14.0452472
5437,183,Zátiší,177,Janov,Litvínov,43542,Ústecký kraj,50.590862,13.553759
5436,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
5373,2051,Báňská,287,Most,Most,43401,Ústecký kraj,50.5011468,13.6329174
5372,2051,Báňská,287,Most,Most,43401,Ústecký kraj,50.5011468,13.6329174
5365,2050,Dělnická,109,Meziboří,Meziboří,43513,Ústecký kraj,50.6207301,13.60139
5351,1764,None,5,Patokryje,Patokryje,43401,Ústecký kraj,50.5024682,13.7080234
5340,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
5339,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
5319,1047,Varšavská,688/40,Střekov,Ústí nad Labem,40003,Ústecký kraj,50.6584598,14.052156
5318,611,Na Vypichu,180,Lahošť,Lahošť,41725,Ústecký kraj,50.6214165,13.756663
5303,2043,Revoluční,22/20,Chomutov,Chomutov,43001,Ústecký kraj,50.460821,13.4201395
5293,2039,CHYBA: 'NoneType' object is not subscriptable,,,,,,,
5262,1913,Svatopluka Čecha,1541,Žatec,Žatec,43801,Ústecký kraj,50.3208044,13.5403026
5258,445,Křečanská,630,Šluknov,Šluknov,40777,Ústecký kraj,51.0010863,14.4538913
5179,183,Zátiší,177,Janov,Litvínov,43542,Ústecký kraj,50.590862,13.553759
5178,1813,Neklanova,2706,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.4215004,14.2421205
5119,1990,Vaníčkova,902/11,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6604892,14.0337405
5118,1989,None,431,Dolní Podluží,Dolní Podluží,40755,Ústecký kraj,50.8829038,14.5785488
5117,701,Štefánikova,246/1,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6732608,14.016086
5093,1981,None,730,Mikulášovice,Mikulášovice,40779,Ústecký kraj,50.9680201,14.3572238
5089,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
5073,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
5048,475,None,65,Filipov,Jiříkov,40753,Ústecký kraj,50.9801762,14.5975311
5047,193,Zahradnická,1534/5,Předměstí,Litoměřice,41201,Ústecký kraj,,
5043,1350,Jateční,870/41,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6628192,14.0092717
5025,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
5024,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
5022,367,None,131,Stará Oleška,Huntířov,40502,Ústecký kraj,50.8005075,14.3364938
4961,1422,U Kanálky,1559/5,Vinohrady,Praha,12000,Hlavní město Praha,50.0776061,14.4459008
4956,1952,None,39,Vilémov,Vilémov,40780,Ústecký kraj,50.9887563,14.33882
4955,1952,None,39,Vilémov,Vilémov,40780,Ústecký kraj,50.9887563,14.33882
4954,1952,None,39,Vilémov,Vilémov,40780,Ústecký kraj,50.9887563,14.33882
4953,1951,Jankovcova,1229/46,Trnovany,Teplice,41501,Ústecký kraj,,
4918,964,Šafaříkova,635/24,Vinohrady,Praha,12000,Hlavní město Praha,,
4908,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
4890,964,Šafaříkova,635/24,Vinohrady,Praha,12000,Hlavní město Praha,,
4884,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
4883,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
4882,93,Kubátova,269,Háj u Duchcova,Háj u Duchcova,41722,Ústecký kraj,50.6315794,13.7133755
4881,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
4858,550,Okružní,104,Meziboří,Meziboří,43513,Ústecký kraj,50.6221869,13.6026458
4857,1903,Varšavská,694/38,Střekov,Ústí nad Labem,40003,Ústecký kraj,50.6583941,14.0520687
4855,435,Fügnerova,282/11,Trmice,Trmice,40004,Ústecký kraj,50.6429157,13.9989999
4853,435,Fügnerova,282/11,Trmice,Trmice,40004,Ústecký kraj,50.6429157,13.9989999
4851,974,Pražská,166/47,Vaňov,Ústí nad Labem,40001,Ústecký kraj,50.6253745,14.0588188
4850,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
4842,183,Zátiší,177,Janov,Litvínov,43542,Ústecký kraj,50.590862,13.553759
4840,1898,náměstí Dr. Beneše,1919/23,Chomutov,Chomutov,43001,Ústecký kraj,50.4581221,13.4106518
4838,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
