sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
1361,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
1356,774,Stavební,415/3,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.778744,14.2183492
1354,774,Stavební,415/3,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.778744,14.2183492
1347,769,K. Maličkého,418/2,Lovosice,Lovosice,41002,Ústecký kraj,50.515823,14.0452472
1346,769,K. Maličkého,418/2,Lovosice,Lovosice,41002,Ústecký kraj,50.515823,14.0452472
1345,769,K. Maličkého,418/2,Lovosice,Lovosice,41002,Ústecký kraj,50.515823,14.0452472
1335,763,Josefa Suka,268/25,Most,Most,43401,Ústecký kraj,50.5022774,13.6572944
1333,763,Josefa Suka,268/25,Most,Most,43401,Ústecký kraj,50.5022774,13.6572944
1306,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
1305,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
1303,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
1301,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
1300,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
1299,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
1272,71,Nám. E. Beneše,470,Varnsdorf,Varnsdorf,40747,Ústecký kraj,50.9120975,14.6197564
1270,71,Nám. E. Beneše,470,Varnsdorf,Varnsdorf,40747,Ústecký kraj,50.9120975,14.6197564
1268,71,Nám. E. Beneše,470,Varnsdorf,Varnsdorf,40747,Ústecký kraj,50.9120975,14.6197564
1252,725,Břežánská,50/4,Bílina,Bílina,41801,Ústecký kraj,50.5489169,13.7742885
1249,722,Náměstí Dobrovského,379/11,Rumburk 1,Rumburk,40801,Ústecký kraj,50.9518948,14.5559641
1245,716,K Chatám,22,Skorotice,Ústí nad Labem,40340,Ústecký kraj,50.6910115,14.0044033
1244,716,K Chatám,22,Skorotice,Ústí nad Labem,40340,Ústecký kraj,50.6910115,14.0044033
1240,716,K Chatám,22,Skorotice,Ústí nad Labem,40340,Ústecký kraj,50.6910115,14.0044033
1238,716,K Chatám,22,Skorotice,Ústí nad Labem,40340,Ústecký kraj,50.6910115,14.0044033
1216,701,Štefánikova,246/1,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6732608,14.016086
1213,701,Štefánikova,246/1,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6732608,14.016086
1212,701,Štefánikova,246/1,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6732608,14.016086
1211,701,Štefánikova,246/1,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6732608,14.016086
1210,700,Pěší,9,Děčín XXXIII-Nebočady,Děčín,40502,Ústecký kraj,50.7304755,14.1908622
1209,700,Pěší,9,Děčín XXXIII-Nebočady,Děčín,40502,Ústecký kraj,50.7304755,14.1908622
1207,698,Riegrova,652,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.4229534,14.2585936
1206,698,Riegrova,652,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.4229534,14.2585936
1205,698,Riegrova,652,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.4229534,14.2585936
1188,684,Hrnčířská,53/18,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.660546,14.0444103
1187,684,Hrnčířská,53/18,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.660546,14.0444103
1177,680,2. polské armády,1094/27,Rumburk 1,Rumburk,40801,Ústecký kraj,50.9578602,14.5554399
1039,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
1038,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
1037,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
1036,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
1035,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
1034,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
1033,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
1032,622,28. října,1155/2,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7828894,14.215874
1011,611,Na Vypichu,180,Lahošť,Lahošť,41725,Ústecký kraj,50.6214165,13.756663
1005,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
1003,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
1001,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
1000,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
999,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
998,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
994,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
985,601,Mírové nám.,280,Jílové,Jílové,40701,Ústecký kraj,50.7611738,14.10451
936,569,nám. 8. května,341,Meziboří,Meziboří,43513,Ústecký kraj,50.6201572,13.6066273
935,568,None,273,Lipová,Lipová,40781,Ústecký kraj,51.0174313,14.36572
931,564,Sukova,1055/24,Rumburk 1,Rumburk,40801,Ústecký kraj,50.952382,14.5519373
929,564,Sukova,1055/24,Rumburk 1,Rumburk,40801,Ústecký kraj,50.952382,14.5519373
927,564,Sukova,1055/24,Rumburk 1,Rumburk,40801,Ústecký kraj,50.952382,14.5519373
923,560,Na Výšině,494,Dubí,Dubí,41701,Ústecký kraj,50.6774965,13.7859498
922,560,Na Výšině,494,Dubí,Dubí,41701,Ústecký kraj,50.6774965,13.7859498
920,559,Mariánské náměstí,32,Bohosudov,Krupka,41742,Ústecký kraj,50.6819141,13.8741227
914,553,Kochova,1185,Chomutov,Chomutov,43001,Ústecký kraj,50.4551743,13.4112939
913,550,Okružní,104,Meziboří,Meziboří,43513,Ústecký kraj,50.6221869,13.6026458
850,527,Teplická,26/25,Děčín IV-Podmokly,Děčín,40502,Ústecký kraj,50.7755046,14.1978871
817,508,None,1,Snědovice,Snědovice,41174,Ústecký kraj,50.5036932,14.3906291
781,485,Rooseveltova,716/7,Předměstí,Litoměřice,41201,Ústecký kraj,,
780,485,Rooseveltova,716/7,Předměstí,Litoměřice,41201,Ústecký kraj,,
779,485,Rooseveltova,716/7,Předměstí,Litoměřice,41201,Ústecký kraj,,
766,475,None,65,Filipov,Jiříkov,40753,Ústecký kraj,50.9801762,14.5975311
747,469,Pod Horkou,85,Chlumec,Chlumec,40339,Ústecký kraj,50.6999465,13.9433867
746,467,Filipovská,582/20,Starý Jiříkov,Jiříkov,40753,Ústecký kraj,50.9917928,14.5760743
718,448,Mírové nám.,163,Štětí,Štětí,41108,Ústecký kraj,50.4539625,14.3728533
715,446,CHYBA: 'NoneType' object has no attribute 'get',,,,,,,
714,446,CHYBA: 'NoneType' object has no attribute 'get',,,,,,,
712,445,Křečanská,630,Šluknov,Šluknov,40777,Ústecký kraj,51.0010863,14.4538913
707,440,Hoření,3083/13,Severní Terasa,Ústí nad Labem,40011,Ústecký kraj,50.6750022,14.036396
698,435,Fügnerova,282/11,Trmice,Trmice,40004,Ústecký kraj,50.6429157,13.9989999
697,435,Fügnerova,282/11,Trmice,Trmice,40004,Ústecký kraj,50.6429157,13.9989999
671,416,Věžní,958,Kadaň,Kadaň,43201,Ústecký kraj,50.3761366,13.2759279
668,416,Věžní,958,Kadaň,Kadaň,43201,Ústecký kraj,50.3761366,13.2759279
648,398,None,58,Rovné,Krabčice,41187,Ústecký kraj,50.4018626,14.304185
647,398,None,58,Rovné,Krabčice,41187,Ústecký kraj,50.4018626,14.304185
633,391,Velká Hradební,13/47,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6603133,14.0372639
631,391,Velká Hradební,13/47,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6603133,14.0372639
623,389,Klášterní,2,Velké Březno,Velké Březno,40323,Ústecký kraj,50.6663322,14.1398604
614,380,Revoluční,1845/30,Předměstí,Litoměřice,41201,Ústecký kraj,,
598,367,None,131,Stará Oleška,Huntířov,40502,Ústecký kraj,50.8005075,14.3364938
559,340,Březinova,1093,Kadaň,Kadaň,43201,Ústecký kraj,50.3768233,13.2651021
558,340,Březinova,1093,Kadaň,Kadaň,43201,Ústecký kraj,50.3768233,13.2651021
556,340,Březinova,1093,Kadaň,Kadaň,43201,Ústecký kraj,50.3768233,13.2651021
554,340,Březinova,1093,Kadaň,Kadaň,43201,Ústecký kraj,50.3768233,13.2651021
506,315,Dvořákova,1331/20,Děčín II-Nové Město,Děčín,40502,Ústecký kraj,50.7827157,14.2330407
473,144,V Klidu,3133/12,Severní Terasa,Ústí nad Labem,40011,Ústecký kraj,50.6846794,14.0194151
466,296,Kosmonautů,2022,Předměstí,Litoměřice,41201,Ústecký kraj,50.5380521,14.123496
465,296,Kosmonautů,2022,Předměstí,Litoměřice,41201,Ústecký kraj,50.5380521,14.123496
464,296,Kosmonautů,2022,Předměstí,Litoměřice,41201,Ústecký kraj,50.5380521,14.123496
463,296,Kosmonautů,2022,Předměstí,Litoměřice,41201,Ústecký kraj,50.5380521,14.123496
460,282,Nádražní,933,Podbořany,Podbořany,44101,Ústecký kraj,50.2244854,13.4068903
415,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
414,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
413,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
