sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
2606,1350,Jateční,870/41,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6628192,14.0092717
2525,701,Štefánikova,246/1,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6732608,14.016086
2524,701,Štefánikova,246/1,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6732608,14.016086
2521,162,Svážná,1528,Most,Most,43401,Ústecký kraj,50.5088942,13.6228219
2484,24,Rybářské náměstí,662/4,Předměstí,Litoměřice,41201,Ústecký kraj,50.532626,14.1256763
2483,1303,None,40,Horní Poustevna,Dolní Poustevna,40747,Ústecký kraj,50.9994763,14.2951738
2481,1303,None,40,Horní Poustevna,Dolní Poustevna,40747,Ústecký kraj,50.9994763,14.2951738
2262,485,Rooseveltova,716/7,Předměstí,Litoměřice,41201,Ústecký kraj,,
2158,399,None,71,Dolní Falknov,Kytlice,40745,Ústecký kraj,50.815711,14.5330443
2152,555,Čelakovského,40/13,Krásná Lípa,Krásná Lípa,40746,Ústecký kraj,50.9173676,14.4969475
1987,1083,Mírové nám.,342,Velký Šenov,Velký Šenov,40778,Ústecký kraj,50.9920025,14.3782625
1986,1082,Bezručova,87/2,Děčín IV-Podmokly,Děčín,40502,Ústecký kraj,50.7742334,14.1978684
1974,1078,Rakovnická,394/21a,Děčín III-Staré Město,Děčín,40502,Ústecký kraj,50.77171,14.2186285
1953,1069,Na Popluží,821/11,Klíše,Ústí nad Labem,40001,Ústecký kraj,50.6676585,14.0165999
1946,1064,Mírová,2820/2,Severní Terasa,Ústí nad Labem,40011,Ústecký kraj,50.6830922,14.0314481
1926,1050,K. Maličkého,382/16,Lovosice,Lovosice,41002,Ústecký kraj,50.515823,14.0452472
1920,1047,Varšavská,688/40,Střekov,Ústí nad Labem,40003,Ústecký kraj,50.6584598,14.052156
1904,1041,Vaníčkova,835/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6603102,14.0335739
1887,964,Šafaříkova,635/24,Vinohrady,Praha,12000,Hlavní město Praha,,
1884,964,Šafaříkova,635/24,Vinohrady,Praha,12000,Hlavní město Praha,,
1882,1025,Jungmannova,1024,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.422992,14.256058
1881,1025,Jungmannova,1024,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.422992,14.256058
1858,1013,Dukelská,28,Kovářská,Kovářská,43186,Ústecký kraj,50.4343735,13.0490042
1856,1009,Pod strání,170,Meziboří,Meziboří,43513,Ústecký kraj,50.6242574,13.5958816
1830,994,Přísečnická,456/6,Vejprty,Vejprty,43191,Ústecký kraj,50.4932978,13.0319622
1829,994,Přísečnická,456/6,Vejprty,Vejprty,43191,Ústecký kraj,50.4932978,13.0319622
1828,994,Přísečnická,456/6,Vejprty,Vejprty,43191,Ústecký kraj,50.4932978,13.0319622
