sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
1826,992,nám. ČSA,84,Terezín,Terezín,41155,Ústecký kraj,50.5100522,14.1490431
1816,964,Šafaříkova,635/24,Vinohrady,Praha,12000,Hlavní město Praha,,
1815,964,Šafaříkova,635/24,Vinohrady,Praha,12000,Hlavní město Praha,,
1810,979,Hornická,106,Meziboří,Meziboří,43513,Ústecký kraj,50.6225958,13.6017541
1808,964,Šafaříkova,635/24,Vinohrady,Praha,12000,Hlavní město Praha,,
1806,977,None,172,Vilémov,Vilémov,40780,Ústecký kraj,50.9921932,14.3307082
1805,976,Mírové náměstí,83,Úštěk-Vnitřní Město,Úštěk,41145,Ústecký kraj,50.5843328,14.3426956
1803,974,Pražská,166/47,Vaňov,Ústí nad Labem,40001,Ústecký kraj,50.6253745,14.0588188
1801,974,Pražská,166/47,Vaňov,Ústí nad Labem,40001,Ústecký kraj,50.6253745,14.0588188
1800,974,Pražská,166/47,Vaňov,Ústí nad Labem,40001,Ústecký kraj,50.6253745,14.0588188
1798,974,Pražská,166/47,Vaňov,Ústí nad Labem,40001,Ústecký kraj,50.6253745,14.0588188
1796,974,Pražská,166/47,Vaňov,Ústí nad Labem,40001,Ústecký kraj,50.6253745,14.0588188
1795,974,Pražská,166/47,Vaňov,Ústí nad Labem,40001,Ústecký kraj,50.6253745,14.0588188
1792,973,Sládkova,344,Česká Kamenice,Česká Kamenice,40721,Ústecký kraj,50.8041713,14.4207812
1776,962,Thámova,711/20,Trnovany,Teplice,41501,Ústecký kraj,50.6501504,13.8422491
1775,962,Thámova,711/20,Trnovany,Teplice,41501,Ústecký kraj,50.6501504,13.8422491
1767,954,Lužická,727/7,Děčín II-Nové Město,Děčín,40502,Ústecký kraj,50.7833953,14.2229428
1749,946,nám. Svobody,2,Hoštka,Hoštka,41172,Ústecký kraj,50.4892724,14.3355123
1724,929,Revoluční,1421/4,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6598359,14.039205
1721,929,Revoluční,1421/4,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6598359,14.039205
1716,926,U Dubu,1562,Jirkov,Jirkov,43111,Ústecký kraj,50.5030828,13.4478877
1715,926,U Dubu,1562,Jirkov,Jirkov,43111,Ústecký kraj,50.5030828,13.4478877
1714,926,U Dubu,1562,Jirkov,Jirkov,43111,Ústecký kraj,50.5030828,13.4478877
1687,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
1685,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
1684,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
1683,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
1682,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
1681,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
1679,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
1677,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
1676,911,Barvířská,495,Most,Most,43401,Ústecký kraj,50.5122999,13.6495154
1642,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
1640,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
1639,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
1638,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
1632,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
1621,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
1620,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
1618,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
1617,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
1610,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
1609,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
1608,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
1607,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
1604,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
1594,885,Tylova,1239/16,Předměstí,Litoměřice,41201,Ústecký kraj,,
1593,885,Tylova,1239/16,Předměstí,Litoměřice,41201,Ústecký kraj,,
1571,69,Lípová,2881,Teplice,Teplice,41501,Ústecký kraj,50.6406195,13.8315646
1563,874,Prokopa Diviše,1605/5,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6632936,14.0323478
1557,87,Sámova,2481,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.4186079,14.2455797
1556,87,Sámova,2481,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.4186079,14.2455797
1552,869,None,6,České Kopisty,Terezín,41201,Ústecký kraj,50.524588,14.1665428
1515,835,Prokopa Diviše,1605/5,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6632936,14.0323478
1512,825,Zeyerova,859,Žatec,Žatec,43801,Ústecký kraj,50.3248542,13.5378363
1509,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
1508,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
1507,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
1506,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
1505,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
1504,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
1503,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
1482,825,Zeyerova,859,Žatec,Žatec,43801,Ústecký kraj,50.3248542,13.5378363
1480,825,Zeyerova,859,Žatec,Žatec,43801,Ústecký kraj,50.3248542,13.5378363
1479,825,Zeyerova,859,Žatec,Žatec,43801,Ústecký kraj,50.3248542,13.5378363
1405,800,Fügnerova,355/16,Děčín I-Děčín,Děčín,40502,Ústecký kraj,50.7778507,14.2171139
1393,792,Rakovnická,2502,Louny,Louny,44001,Ústecký kraj,50.3480584,13.8071465
1370,780,Lípová,333/25,Teplice,Teplice,41501,Ústecký kraj,50.6412328,13.8343077
1368,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
1367,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
1365,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
1364,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
1363,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
