sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
412,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
404,267,Na Florenci,2116/15,Nové Město,Praha,11000,Hlavní město Praha,50.0888675,14.4351915
403,267,Na Florenci,2116/15,Nové Město,Praha,11000,Hlavní město Praha,50.0888675,14.4351915
390,256,None,119,Brtníky,Staré Křečany,40760,Ústecký kraj,50.947595,14.4415449
348,231,None,1,Tuchořice,Tuchořice,43969,Ústecký kraj,50.2844389,13.6609024
346,229,Šrámkova,3305/38a,Severní Terasa,Ústí nad Labem,40011,Ústecký kraj,50.6757897,14.0596102
344,228,Lomená,47/2,Most,Most,43401,Ústecký kraj,50.5103141,13.6284795
312,201,Za Vozovnou,783/1,Bukov,Ústí nad Labem,40001,Ústecký kraj,50.678529,14.0114108
311,201,Za Vozovnou,783/1,Bukov,Ústí nad Labem,40001,Ústecký kraj,50.678529,14.0114108
305,193,Zahradnická,1534/5,Předměstí,Litoměřice,41201,Ústecký kraj,,
302,193,Zahradnická,1534/5,Předměstí,Litoměřice,41201,Ústecký kraj,,
301,193,Zahradnická,1534/5,Předměstí,Litoměřice,41201,Ústecký kraj,,
300,193,Zahradnická,1534/5,Předměstí,Litoměřice,41201,Ústecký kraj,,
299,193,Zahradnická,1534/5,Předměstí,Litoměřice,41201,Ústecký kraj,,
276,183,Zátiší,177,Janov,Litvínov,43542,Ústecký kraj,50.590862,13.553759
244,165,nám. Míru,1,Šluknov,Šluknov,40777,Ústecký kraj,51.0032366,14.4516664
213,142,Písečná,5030,Chomutov,Chomutov,43004,Ústecký kraj,50.4869592,13.4410344
212,142,Písečná,5030,Chomutov,Chomutov,43004,Ústecký kraj,50.4869592,13.4410344
210,142,Písečná,5030,Chomutov,Chomutov,43004,Ústecký kraj,50.4869592,13.4410344
209,142,Písečná,5030,Chomutov,Chomutov,43004,Ústecký kraj,50.4869592,13.4410344
208,142,Písečná,5030,Chomutov,Chomutov,43004,Ústecký kraj,50.4869592,13.4410344
207,142,Písečná,5030,Chomutov,Chomutov,43004,Ústecký kraj,50.4869592,13.4410344
164,112,Šafaříkova,852,Žatec,Žatec,43801,Ústecký kraj,50.3244303,13.548301
163,112,Šafaříkova,852,Žatec,Žatec,43801,Ústecký kraj,50.3244303,13.548301
131,93,Kubátova,269,Háj u Duchcova,Háj u Duchcova,41722,Ústecký kraj,50.6315794,13.7133755
130,93,Kubátova,269,Háj u Duchcova,Háj u Duchcova,41722,Ústecký kraj,50.6315794,13.7133755
100,71,Nám. E. Beneše,470,Varnsdorf,Varnsdorf,40747,Ústecký kraj,50.9120975,14.6197564
98,69,Lípová,2881,Teplice,Teplice,41501,Ústecký kraj,50.6406195,13.8315646
97,69,Lípová,2881,Teplice,Teplice,41501,Ústecký kraj,50.6406195,13.8315646
96,69,Lípová,2881,Teplice,Teplice,41501,Ústecký kraj,50.6406195,13.8315646
85,62,Lípová,545,Klášterec nad Ohří,Klášterec nad Ohří,43151,Ústecký kraj,50.3936499,13.1789011
84,62,Lípová,545,Klášterec nad Ohří,Klášterec nad Ohří,43151,Ústecký kraj,50.3936499,13.1789011
26,23,Rozcestí,798/9,Krásné Březno,Ústí nad Labem,40007,Ústecký kraj,50.6696682,14.0935244
