sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
7555,2606,Slovenského národního povstání,2742/10,Most,Most,43401,Ústecký kraj,50.5083986,13.631723
7554,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
7553,193,Zahradnická,1534/5,Předměstí,Litoměřice,41201,Ústecký kraj,,
7527,391,Velká Hradební,13/47,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6603133,14.0372639
7524,2654,Dolní Maršov,415,Maršov,Krupka,41742,Ústecký kraj,50.6790835,13.8899753
7523,2654,Dolní Maršov,415,Maršov,Krupka,41742,Ústecký kraj,50.6790835,13.8899753
7517,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
7480,2638,None,85,Horní Podluží,Horní Podluží,40757,Ústecký kraj,50.8818388,14.5486849
7432,2083,Na Poříčí,1041/12,Nové Město,Praha,11000,Hlavní město Praha,50.0891798,14.4311979
7415,1583,Čelakovského,8/4,Pražské Předměstí,Písek,39701,Jihočeský kraj,49.3097812,14.1397036
7413,1583,Čelakovského,8/4,Pražské Předměstí,Písek,39701,Jihočeský kraj,49.3097812,14.1397036
7405,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
7391,2627,Budějovická,778/3,Michle,Praha,14000,Hlavní město Praha,50.0490324,14.4430812
7380,2622,Rudé armády,59,Droužkovice,Droužkovice,43144,Ústecký kraj,50.4292488,13.4318411
7377,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
7376,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
7370,205,Petra Jilemnického,2457/1,Most,Most,43401,Ústecký kraj,50.5051147,13.6349047
7361,440,Hoření,3083/13,Severní Terasa,Ústí nad Labem,40011,Ústecký kraj,50.6750022,14.036396
7357,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
7356,831,K. H. Borovského,1853,Most,Most,43401,Ústecký kraj,50.5066287,13.6604152
7349,205,Petra Jilemnického,2457/1,Most,Most,43401,Ústecký kraj,50.5051147,13.6349047
7341,1990,Vaníčkova,902/11,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6604892,14.0337405
7338,2611,Školní,1054/28,Chomutov,Chomutov,43001,Ústecký kraj,50.459193,13.4121355
7335,792,Rakovnická,2502,Louny,Louny,44001,Ústecký kraj,50.3480584,13.8071465
7334,792,Rakovnická,2502,Louny,Louny,44001,Ústecký kraj,50.3480584,13.8071465
7332,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
7331,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
7330,270,Stroupežnického,1372/9,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6630615,14.0372032
7324,2606,Slovenského národního povstání,2742/10,Most,Most,43401,Ústecký kraj,50.5083986,13.631723
7306,391,Velká Hradební,13/47,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6603133,14.0372639
7305,435,Fügnerova,282/11,Trmice,Trmice,40004,Ústecký kraj,50.6429157,13.9989999
7293,2597,Jana Zajíce,2877/7,Severní Terasa,Ústí nad Labem,40011,Ústecký kraj,50.6831497,14.0229281
7292,440,Hoření,3083/13,Severní Terasa,Ústí nad Labem,40011,Ústecký kraj,50.6750022,14.036396
7271,1764,None,5,Patokryje,Patokryje,43401,Ústecký kraj,50.5024682,13.7080234
7269,416,Věžní,958,Kadaň,Kadaň,43201,Ústecký kraj,50.3761366,13.2759279
7247,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
7246,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
