sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
3990,1727,náměstí Míru,11,Horní Litvínov,Litvínov,43601,Ústecký kraj,50.5988055,13.6117055
3989,1727,náměstí Míru,11,Horní Litvínov,Litvínov,43601,Ústecký kraj,50.5988055,13.6117055
3969,1671,Křižíkova,918/32,Krásná Lípa,Krásná Lípa,40746,Ústecký kraj,50.9024113,14.5063363
3936,1599,Kryrská,102,Vroutek,Vroutek,43982,Ústecký kraj,50.1796435,13.3819306
3916,435,Fügnerova,282/11,Trmice,Trmice,40004,Ústecký kraj,50.6429157,13.9989999
3915,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
3905,367,None,131,Stará Oleška,Huntířov,40502,Ústecký kraj,50.8005075,14.3364938
3902,611,Na Vypichu,180,Lahošť,Lahošť,41725,Ústecký kraj,50.6214165,13.756663
3892,485,Rooseveltova,716/7,Předměstí,Litoměřice,41201,Ústecký kraj,,
3880,962,Thámova,711/20,Trnovany,Teplice,41501,Ústecký kraj,50.6501504,13.8422491
3841,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
3840,752,Purkyňova,2004/10,Teplice,Teplice,41501,Ústecký kraj,50.6335303,13.8287003
3839,698,Riegrova,652,Roudnice nad Labem,Roudnice nad Labem,41301,Ústecký kraj,50.4229534,14.2585936
3838,979,Hornická,106,Meziboří,Meziboří,43513,Ústecký kraj,50.6225958,13.6017541
3787,229,Šrámkova,3305/38a,Severní Terasa,Ústí nad Labem,40011,Ústecký kraj,50.6757897,14.0596102
3784,926,U Dubu,1562,Jirkov,Jirkov,43111,Ústecký kraj,50.5030828,13.4478877
3783,1672,Mírové nám.,234/3,Děčín IV-Podmokly,Děčín,40502,Ústecký kraj,50.7735826,14.1963805
3780,1671,Křižíkova,918/32,Krásná Lípa,Krásná Lípa,40746,Ústecký kraj,50.9024113,14.5063363
3758,448,Mírové nám.,163,Štětí,Štětí,41108,Ústecký kraj,50.4539625,14.3728533
3757,448,Mírové nám.,163,Štětí,Štětí,41108,Ústecký kraj,50.4539625,14.3728533
3751,1640,Hlávkova,1203,Trnovany,Teplice,41501,Ústecký kraj,50.6565775,13.8411367
3746,778,Husova,1325,Kadaň,Kadaň,43201,Ústecký kraj,50.3899214,13.2696234
3745,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
3744,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
3731,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
3730,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
3729,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
3728,1303,None,40,Horní Poustevna,Dolní Poustevna,40747,Ústecký kraj,50.9994763,14.2951738
3725,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
3710,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
3693,964,Šafaříkova,635/24,Vinohrady,Praha,12000,Hlavní město Praha,,
3686,825,Zeyerova,859,Žatec,Žatec,43801,Ústecký kraj,50.3248542,13.5378363
3673,680,2. polské armády,1094/27,Rumburk 1,Rumburk,40801,Ústecký kraj,50.9578602,14.5554399
3638,973,Sládkova,344,Česká Kamenice,Česká Kamenice,40721,Ústecký kraj,50.8041713,14.4207812
3622,1486,Černokostelecká,2020/20,Strašnice,Praha,10000,Hlavní město Praha,50.0764821,14.492918
3620,1640,Hlávkova,1203,Trnovany,Teplice,41501,Ústecký kraj,50.6565775,13.8411367
3602,1631,Mírové náměstí,120,Kadaň,Kadaň,43201,Ústecký kraj,50.3755757,13.270626
3599,62,Lípová,545,Klášterec nad Ohří,Klášterec nad Ohří,43151,Ústecký kraj,50.3936499,13.1789011
3584,955,Palackého,205/4,Rumburk 1,Rumburk,40801,Ústecký kraj,50.9505535,14.5593938
3567,1624,Čajkovského,1908/82,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6401921,14.0442611
3565,1624,Čajkovského,1908/82,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6401921,14.0442611
3564,1624,Čajkovského,1908/82,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6401921,14.0442611
3563,1624,Čajkovského,1908/82,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6401921,14.0442611
3562,1624,Čajkovského,1908/82,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6401921,14.0442611
3561,1624,Čajkovského,1908/82,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6401921,14.0442611
3544,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
3534,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
3530,183,Zátiší,177,Janov,Litvínov,43542,Ústecký kraj,50.590862,13.553759
3529,183,Zátiší,177,Janov,Litvínov,43542,Ústecký kraj,50.590862,13.553759
3528,864,Tyršova,350,Česká Kamenice,Česká Kamenice,40721,Ústecký kraj,50.8001475,14.4119825
