sluzba,poskytovatel_id,ulice,cislo,cast,obec,psc,kraj,lat,lon
4189,1694,Masarykova,1094/4,Krásná Lípa,Krásná Lípa,40746,Ústecký kraj,50.9130726,14.50939
4188,1694,Masarykova,1094/4,Krásná Lípa,Krásná Lípa,40746,Ústecký kraj,50.9130726,14.50939
4178,1764,None,5,Patokryje,Patokryje,43401,Ústecký kraj,50.5024682,13.7080234
4172,193,Zahradnická,1534/5,Předměstí,Litoměřice,41201,Ústecký kraj,,
4160,1624,Čajkovského,1908/82,Ústí nad Labem-centrum,Ústí nad Labem,40001,Ústecký kraj,50.6401921,14.0442611
4152,1758,Pod Břízami,5598,Chomutov,Chomutov,43004,Ústecký kraj,,
4148,1757,Kostelní,67,Jirkov,Jirkov,43111,Ústecký kraj,50.4982725,13.4478881
4133,340,Březinova,1093,Kadaň,Kadaň,43201,Ústecký kraj,50.3768233,13.2651021
4110,1748,CHYBA: 'NoneType' object is not subscriptable,,,,,,,
4109,1748,CHYBA: 'NoneType' object is not subscriptable,,,,,,,
4105,605,Dlouhá,362/75,Lovosice,Lovosice,41002,Ústecký kraj,50.5205123,14.0453183
4104,895,Františka Malíka,956/16a,Most,Most,43401,Ústecký kraj,50.4937747,13.6599037
4095,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
4094,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
4091,481,Jiřího Wolkera,1248/2,Teplice,Teplice,41501,Ústecký kraj,50.6445363,13.8326598
4064,891,Petra Jilemnického,1929/9,Most,Most,43401,Ústecký kraj,50.5044316,13.6355873
4060,1441,Opletalova,921/6,Nové Město,Praha,11000,Hlavní město Praha,50.0811171,14.4296172
4028,475,None,65,Filipov,Jiříkov,40753,Ústecký kraj,50.9801762,14.5975311
4012,1733,Mírové náměstí,1,Louny,Louny,44001,Ústecký kraj,50.3572998,13.7978518
4004,1409,K Brance,11/19e,Stodůlky,Praha,15500,Hlavní město Praha,50.0481757,14.3111295
